date,contingents,N,IgT,IgT_part,IsT,Ig,Is,EsT_EgT,EsT,EgT,Es,Eg,S
2009,6942.0,2644.864,1502.0,43.7,1935.0709,0.0,0.0,3504.9292,1752.4646,1752.4646,0.0,0.0,2637922.0
2010,6656.0,2662.395,1500.0,47.3,1671.2474,0.0,0.0,3484.7524,1742.3762,1742.3762,0.0,0.0,2655738.8
2011,6425.0,2676.664,1539.0,49.1,1595.4197,0.0,0.0,3290.58,1645.29,1645.29,0.0,0.0,2670239.0
2012,6365.0,2709.461,1638.0,53.5,1423.6823,0.0,0.0,3303.3179,1651.6589,1651.6589,0.0,0.0,2703095.8
2013,6086.0,2731.176,1494.0,53.1,1319.5594,0.0,0.0,3272.4404,1636.2202,1636.2202,0.0,0.0,2725090.0
2014,5983.0,2731.176,1454.0,52.7,1305.0132,0.0,0.0,3223.9868,1611.9934,1611.9934,0.0,0.0,2725193.0
2015,5961.0,2746.822,1479.0,55.2,1200.3478,0.0,0.0,3281.6523,1640.8262,1640.8262,0.0,0.0,2740861.2
2016,5903.0,2762.237,1550.0,57.9,1127.0293,0.0,0.0,3225.9707,1612.9854,1612.9854,0.0,0.0,2756334.0
2017,5660.0,2779.555,1473.0,58.9,1027.8489,0.0,0.0,3159.1514,1579.5757,1579.5757,0.0,0.0,2773895.2
2018,5533.0,2788.849,1509.0,62.7,897.69855,0.0,0.0,3126.3013,1563.1506,1563.1506,0.0,0.0,2783315.8
2020,4418.0,2798.17,1330.0,75.2,438.6171,0.0,0.0,2649.3828,1324.6914,1324.6914,0.0,0.0,2793752.0
2021,3839.0,2785.836,1205.0,66.5,607.0301,0.0,0.0,2026.97,1013.485,1013.485,0.0,0.0,2781997.0
2022,,,1132.0,66.0,583.1515,0.0,0.0,,,,,,
2023,,,914.0,64.9,494.32047,0.0,0.0,,,,,,
