date,contingents,N,IgT,IgT_part,IsT,Ig,Is,EsT_EgT,EsT,EgT,Es,Eg,S
2009,2183.0,315.498,394.0,34.9,734.93976,0.0,0.0,1054.0603,527.03015,527.03015,0.0,0.0,313315.0
2010,2207.0,306.688,530.0,43.0,702.55817,0.0,0.0,974.4419,487.22095,487.22095,0.0,0.0,304481.0
2011,2248.0,308.74,816.0,60.6,530.53467,0.0,0.0,901.46533,450.73267,450.73267,0.0,0.0,306492.03
2012,2243.0,310.46,808.0,56.4,624.624,0.0,0.0,810.376,405.188,405.188,0.0,0.0,308217.0
2013,2075.0,311.761,775.0,58.6,547.52563,0.0,0.0,752.47437,376.23718,376.23718,0.0,0.0,309685.97
2014,1866.0,311.761,750.0,63.8,425.54858,0.0,0.0,690.4514,345.2257,345.2257,0.0,0.0,309895.0
2015,1751.0,313.777,718.0,65.2,383.22705,0.0,0.0,649.77295,324.88647,324.88647,0.0,0.0,312026.03
2016,1728.0,315.637,579.0,61.7,359.41165,0.0,0.0,789.5884,394.7942,394.7942,0.0,0.0,313909.03
2017,1715.0,318.55,583.0,64.3,323.68735,0.0,0.0,808.3126,404.1563,404.1563,0.0,0.0,316835.0
2018,1649.0,321.722,623.0,68.6,285.1633,0.0,0.0,740.8367,370.41833,370.41833,0.0,0.0,320073.03
2020,1304.0,327.383,526.0,75.4,171.61272,0.0,0.0,606.3873,303.19366,303.19366,0.0,0.0,326079.0
2021,1039.0,330.368,417.0,72.4,158.96684,0.0,0.0,463.03314,231.51657,231.51657,0.0,0.0,329328.97
2022,,,309.0,67.6,148.1006,0.0,0.0,,,,,,
2023,,,316.0,69.0,141.97101,0.0,0.0,,,,,,
