date,contingents,N,IgT,IgT_part,IsT,Ig,Is,EsT_EgT,EsT,EgT,Es,Eg,S
2010,627.0,205.641,90.0,40.2,133.8806,0.0,0.0,403.1194,201.5597,201.5597,0.0,0.0,205014.0
2011,629.0,207.478,86.0,43.0,114.0,0.0,0.0,429.0,214.5,214.5,0.0,0.0,206849.0
2012,582.0,210.344,112.0,55.7,89.0772,0.0,0.0,380.9228,190.4614,190.4614,0.0,0.0,209761.98
2013,563.0,211.645,121.0,72.5,45.896553,0.0,0.0,396.10345,198.05173,198.05173,0.0,0.0,211082.02
2014,519.0,211.645,124.0,77.5,36.0,0.0,0.0,359.0,179.5,179.5,0.0,0.0,211126.0
2015,509.0,213.703,114.0,70.4,47.931816,0.0,0.0,347.06818,173.53409,173.53409,0.0,0.0,213194.0
2016,490.0,215.161,107.0,71.3,43.070118,0.0,0.0,339.92987,169.96494,169.96494,0.0,0.0,214671.0
2017,499.0,217.007,129.0,74.6,43.922253,0.0,0.0,326.07776,163.03888,163.03888,0.0,0.0,216508.02
2018,471.0,218.063,112.0,67.5,53.925926,0.0,0.0,305.07407,152.53703,152.53703,0.0,0.0,217592.02
2020,298.0,220.181,76.0,69.7,33.038742,0.0,0.0,188.96124,94.48062,94.48062,0.0,0.0,219883.0
2021,264.0,220.954,68.0,66.7,33.949028,0.0,0.0,162.05096,81.02548,81.02548,0.0,0.0,220689.98
2022,,,57.0,62.0,34.935482,0.0,0.0,,,,,,
2023,,,57.0,69.5,25.014389,0.0,0.0,,,,,,
