x,parN,RegN,Region,Parameter,Mean,Lower,Upper,Optuna,minus,plus
1,1,1,Altay,alpha,0.0486909356404757,0.0219041554093145,0.0894496453293356,0.048278644649369,0.0267867802311612,0.0407587096888599
2,1,2,Zabaikal,alpha,0.0354500776967266,0.0309918643951083,0.0495239241652849,0.0903572028078495,0.00445821330161832,0.0140738464685582
3,1,3,Tyva,alpha,0.0844394445382171,0.0642564714951441,0.121386918166931,0.0915568051749629,0.0201829730430731,0.0369474736287137
4,1,4,NSO,alpha,0.0983014871255559,0.0640136398422672,0.148423746586984,0.160159246266864,0.0342878472832887,0.0501222594614286
5,1,5,Irkutsk,alpha,0.0859925084620336,0.0374952621505468,0.15042871217664,0.0788527626456752,0.0484972463114868,0.064436203714606
8,2,1,Altay,beta,3.58925063058298,3.20105912110146,3.98513956384947,4.32776712919754,0.388191509481518,0.395888933266492
9,2,2,Zabaikal,beta,2.66564965107285,1.94475409120474,3.40150738162179,2.46049592373583,0.720895559868111,0.735857730548938
10,2,3,Tyva,beta,2.09374831067192,1.65708745343709,2.56587607359993,2.6017937325278,0.436660857234837,0.472127762928005
11,2,4,NSO,beta,2.08014016653942,1.69080231777323,2.58429954057647,2.65434652066071,0.389337848766183,0.504159374037052
12,2,5,Irkutsk,beta,2.81290189576037,2.32211268802932,3.22103115058017,2.4890246346229,0.490789207731052,0.408129254819797
15,3,1,Altay,gamma_1,0.218367417294019,0.171808757011407,0.266432909831585,0.26013643859077,0.0465586602826119,0.0480654925375662
16,3,2,Zabaikal,gamma_1,0.387081009984094,0.304874333891485,0.469281998025586,0.41880543161679,0.0822066760926092,0.0822009880414928
17,3,3,Tyva,gamma_1,0.291063336560466,0.266230595960496,0.329007199518275,0.319941331626464,0.0248327405999701,0.0379438629578091
18,3,4,NSO,gamma_1,0.3836223537124,0.338797354251317,0.418403997921125,0.346978665512564,0.0448249994610833,0.0347816442087243
19,3,5,Irkutsk,gamma_1,0.445340861732412,0.377927866054976,0.484226560715605,0.284743706154433,0.0674129956774361,0.0388856989831927
22,4,1,Altay,gamma_2,0.404057347553406,0.330354293752141,0.483543227058178,0.537254505227651,0.0737030538012656,0.0794858795047719
