date,contingents,N,IgT,IgT_part,IsT,Ig,Is,EsT_EgT,EsT,EgT,Es,Eg,S
2010,9906.0,2429.757,551.0,14.4,3275.389,0.0,0.0,6079.6113,3039.8057,3039.8057,0.0,0.0,2419851.0
2011,10055.0,2426.154,617.0,16.3,3168.2761,0.0,0.0,6269.7236,3134.8618,3134.8618,0.0,0.0,2416099.2
2012,9574.0,2422.026,681.0,18.2,3060.758,0.0,0.0,5832.242,2916.121,2916.121,0.0,0.0,2412452.2
2013,8810.0,2418.348,737.0,22.3,2567.9329,0.0,0.0,5505.0674,2752.5337,2752.5337,0.0,0.0,2409538.0
2014,7899.0,2418.348,914.0,28.9,2248.6296,0.0,0.0,4736.37,2368.185,2368.185,0.0,0.0,2410448.8
2015,7135.0,2414.913,1096.0,36.4,1914.989,0.0,0.0,4124.0107,2062.0054,2062.0054,0.0,0.0,2407778.0
2016,6320.0,2412.8,1076.0,41.4,1523.0337,0.0,0.0,3720.9663,1860.4832,1860.4832,0.0,0.0,2406480.0
2017,5605.0,2408.901,1053.0,46.8,1197.0,0.0,0.0,3355.0,1677.5,1677.5,0.0,0.0,2403296.0
2018,4956.0,2404.195,1048.0,51.5,986.9515,0.0,0.0,2921.0486,1460.5243,1460.5243,0.0,0.0,2399239.0
2020,3316.0,2391.193,932.0,61.5,583.44714,0.0,0.0,1800.5527,900.27637,900.27637,0.0,0.0,2387877.0
2021,2720.0,2375.021,726.0,54.8,598.8175,0.0,0.0,1395.1826,697.5913,697.5913,0.0,0.0,2372301.2
2022,,,655.0,54.0,557.96295,0.0,0.0,,,,,,
2023,,,515.0,52.4,467.8244,0.0,0.0,,,,,,
