date,optuna_sol_IsT,mean_solution_IsT,lower_bound_IsT,upper_bound_IsT,optuna_sol_IgT,mean_solution_IgT,lower_bound_IgT,upper_bound_IgT,optuna_sol_EsT_EgT,mean_solution_EsT_EgT,lower_bound_EsT_EgT,upper_bound_EsT_EgT
2009.0,1935.0709228515625,1935.0709228515625,1935.0709228515625,1935.0709228515625,1502.0,1502.0,1502.0,1502.0,3504.92919921875,3504.92919921875,3504.92919921875,3504.92919921875
2009.0666666666675,1901.8428516910974,1898.9070634265606,1885.1242891139782,1912.7525966913677,1505.817027048617,1494.6633362167495,1485.6704938535074,1504.2557795358234,3520.6167589490124,3521.4656990868402,3516.4232105306887,3527.366319443946
2009.133333333335,1871.088472286673,1868.1873915532858,1843.1140967231363,1893.0556346568633,1512.3887002908539,1493.5061802896635,1476.8449726937197,1510.0167278466301,3534.3048498640237,3534.8128489162764,3525.913441829659,3545.714724747798
2009.2000000000025,1842.5134494105985,1841.437405030249,1806.9111517930105,1875.7491689980668,1520.5320540184111,1496.1552985323644,1472.8279103537539,1518.1229652632985,3546.3305670324585,3545.8107317353933,3533.8092953519135,3561.0152953336305
2009.26666666667,1815.8775405942797,1817.6479147323791,1774.6214956707713,1860.44683188144,1529.451461991595,1501.050431297347,1471.9294264035968,1527.6520120109321,3556.944902660063,3555.0306851722785,3540.325913862763,3574.031726800244
2009.3333333333376,1790.9808028346035,1796.1217439919312,1746.2155032201276,1846.2147631484725,1538.6174556979531,1507.1718969899175,1472.7470628937797,1538.115230915868,3566.3379408032997,3562.8641399855055,3545.8322093007473,3585.24093835074
2009.400000000005,1767.6538290113278,1776.3715090351773,1720.234505113417,1832.6786441968623,1547.6830671308091,1513.8590585376714,1474.5189092924634,1548.6701948471687,3574.6563916951072,3569.5818964305536,3549.9427511608674,3595.0502803086742
2009.4666666666726,1745.7507974404025,1758.0514069086603,1696.3680797053564,1819.7347941597227,1556.4261874399874,1520.6893608255639,1477.2079295275669,1559.1432211643314,3582.015802591427,3575.3736948643736,3552.971020639535,3603.885521759495
2009.5333333333401,1725.1444717135848,1740.9116498990904,1674.4494735393578,1807.8879818939074,1564.7098071625794,1527.3977469763179,1479.789879476114,1568.9862328491458,3588.5090989914743,3580.3746485155402,3554.851645349455,3611.694454558408
2009.6000000000076,1705.7225662613687,1724.767990255386,1654.1109245107907,1796.0366089000802,1572.4546365034298,1533.8230056985797,1482.4455899580717,1578.5170385869667,3594.2125755947764,3584.68291169669,3556.2239738544527,3618.3085516692136
2009.6666666666752,1687.3850681909028,1709.4812967567566,1635.4363482008084,1784.9106900542765,1579.6202620519261,1539.8720664254374,1485.103144058918,1587.982392805396,3599.190119798896,3588.371503775683,3556.6880225233863,3624.2756426730894
2009.7333333333427,1670.0422330661613,1694.9438389162126,1617.5565404069332,1773.8686786821427,1586.1921989371003,1545.4962686163738,1487.3980430929714,1596.8155867981995,3603.496206332055,3591.496230078972,3556.613144283163,3629.61468602083
2009.8000000000102,1653.6130574492686,1681.070040069157,1600.587574154798,1763.1769101380569,1592.1730029907555,1550.6756027302072,1489.792137589487,1604.7687632818393,3607.178037993588,3594.101000613804,3556.47100845147,3634.0535528532
2009.8666666666777,1638.0240930416107,1667.7902187772172,1584.6427102500243,1752.8810113370903,1597.5761934059908,1555.408269912832,1492.0332348016286,1612.123782357649,3610.2770883964367,3596.2214084279954,3555.48790518624,3638.1447961317017
2009.9333333333452,1623.2085062339258,1655.0463265529895,1569.7925185176575,1742.8606793175277,1602.4221044176218,1559.7037818437018,1494.0199572707252,1618.579207865944,3612.8302277813564,3597.8871456199104,3554.0024028401526,3642.0180108568197
2010.0000000000127,1609.1053171771816,1642.7890231199383,1555.483005756003,1732.9808353097171,1606.7350700218842,1563.5784189621704,1495.8102435000496,1624.7942729208128,3614.870554878504,3599.1236412807875,3551.817565326241,3645.4317735137884
2010.0666666666802,1595.6587716539634,1630.9756487060242,1542.0515573120108,1722.725375262666,1610.541525722176,1567.0522562268068,1497.5666504453764,1630.3873695966784,3616.428021116575,3599.953178651653,3549.626268868287,3648.4533052486627
