date,contingents,N,IgT,IgT_part,IsT,Ig,Is,EsT_EgT,EsT,EgT,Es,Eg,S
2010,2363.0,1106.977,236.0,25.8,678.7287,0.0,0.0,1448.2712,724.1356,724.1356,0.0,0.0,1104614.0
2011,2191.0,1102.775,309.0,37.5,515.0,0.0,0.0,1367.0,683.5,683.5,0.0,0.0,1100584.0
2012,1934.0,1095.169,273.0,38.0,445.42105,0.0,0.0,1215.579,607.7895,607.7895,0.0,0.0,1093235.1
2013,1758.0,1090.344,237.0,37.9,388.32977,0.0,0.0,1132.6702,566.3351,566.3351,0.0,0.0,1088585.9
2014,1666.0,1090.344,179.0,31.8,383.8931,0.0,0.0,1103.1069,551.55347,551.55347,0.0,0.0,1088678.1
2015,1579.0,1087.452,167.0,32.2,351.63354,0.0,0.0,1060.3665,530.1832,530.1832,0.0,0.0,1085873.1
2016,1573.0,1083.012,179.0,36.8,307.41306,0.0,0.0,1086.5869,543.29346,543.29346,0.0,0.0,1081439.1
2017,1403.0,1078.983,161.0,40.4,237.51483,0.0,0.0,1004.4851,502.24255,502.24255,0.0,0.0,1077580.0
2018,1255.0,1072.806,173.0,50.9,166.88211,0.0,0.0,915.1179,457.55896,457.55896,0.0,0.0,1071551.1
2020,1116.0,1059.7,170.0,60.3,111.92371,0.0,0.0,834.0763,417.03815,417.03815,0.0,0.0,1058584.1
2021,1071.0,1053.485,126.0,48.6,133.25928,0.0,0.0,811.7407,405.87036,405.87036,0.0,0.0,1052414.0
2022,,,127.0,48.7,133.78029,0.0,0.0,,,,,,
2023,,,168.0,56.8,127.77465,0.0,0.0,,,,,,
